mlb_game_pk,date_played,away_bats_pi,away_pitch_pi,home_bats_pi,home_pitch_pi,away_bats_pi,away_pitch_pi,home_bats_pi,home_pitch_pi
744855,5/26/2024,0.66500000000000000,0.43168287746804096,0.65900000000000000,0.8223390590236881,0.6650,0.4317,0.6590,0.8223
744856,5/22/2024,0.7030000000000001,0.6581760763083269,0.65900000000000000,0.6895597501607422,0.7030,0.6582,0.6590,0.6896
744857,5/20/2024,0.6950000000000001,0.6766856611505123,0.65700000000000000,0.6615732260383829,0.6950,0.6767,0.6570,0.6616
744858,5/8/2024,0.74900000000000000,0.68604500753430100,0.6819999999999999,0.6145564625850339,0.7490,0.6860,0.6820,0.6146
744859,5/7/2024,0.76500000000000000,0.6091962424832581,0.68500000000000000,0.6657491967582602,0.7650,0.6092,0.6850,0.6657
744860,5/21/2024,0.69400000000000000,0.6736132548883891,0.66500000000000000,0.7990972440546777,0.6940,0.6736,0.6650,0.7991
744861,5/5/2024,0.66900000000000000,0.6802430404260469,0.6719999999999999,0.7370695563495956,0.6690,0.6802,0.6720,0.7371
744862,5/4/2024,0.67100000000000000,0.7407899662495763,0.67700000000000000,0.7389934645205458,0.6710,0.7408,0.6770,0.7390
744863,4/23/2024,0.76300000000000000,0.6369074074074075,0.70000000000000000,0.97600000000000000,0.7630,0.6369,0.7000,0.9760
744864,4/24/2024,0.76300000000000000,0.6298333333333334,0.6970000000000001,0.7448370370370371,0.7630,0.6298,0.6970,0.7448
744865,4/20/2024,0.77200000000000000,0.28700000000000003,0.68800000000000000,0.59400000000000000,0.7720,0.2870,0.6880,0.5940
744866,4/21/2024,0.76300000000000000,1.1520000000000001,0.69200000000000000,0.47400000000000000,0.7630,1.1520,0.6920,0.4740
744867,4/25/2024,0.78400000000000000,0.6057999999999999,0.6859999999999999,0.7680333333333333,0.7840,0.6058,0.6860,0.7680
744868,5/3/2024,0.67100000000000000,0.6607830374753452,0.6679999999999999,0.8481597370974533,0.6710,0.6608,0.6680,0.8482
744869,4/3/2024,0.85500000000000000,0.74500000000000000,0.74300000000000000,0.74300000000000000,0.8550,0.7450,0.7430,0.7430
744870,4/4/2024,0.80400000000000000,0.8180000000000001,0.77600000000000000,1.30500000000000000,0.8040,0.8180,0.7760,1.3050
744871,4/7/2024,0.6910000000000001,0.72100000000000000,0.66900000000000000,0.6930000000000001,0.6910,0.7210,0.6690,0.6930
744872,4/19/2024,0.76900000000000000,0.76900000000000000,0.68700000000000000,0.65100000000000000,0.7690,0.7690,0.6870,0.6510
744873,4/6/2024,0.68100000000000000,0.63400000000000000,0.7010000000000001,0.9550000000000001,0.6810,0.6340,0.7010,0.9550
744874,4/5/2024,0.6599999999999999,1.37000000000000000,0.75400000000000000,1.26800000000000000,0.6600,1.3700,0.7540,1.2680
744875,4/1/2024,0.8180000000000001,0.8180000000000001,0.77800000000000000,0.77800000000000000,0.8180,0.8180,0.7780,0.7780
744876,9/24/2024,0.74900000000000000,0.7183236656409233,0.7070000000000001,0.6348080426374607,0.7490,0.7183,0.7070,0.6348
744877,9/25/2024,0.74800000000000000,0.6057152062665428,0.70600000000000000,0.6843921276565745,0.7480,0.6057,0.7060,0.6844
744878,9/28/2024,0.6799999999999999,0.7665041834316286,0.70800000000000000,0.6919439173485439,0.6800,0.7665,0.7080,0.6919
744879,9/27/2024,0.6739999999999999,0.7923725415530731,0.7070000000000001,0.6849963738445397,0.6740,0.7924,0.7070,0.6850
744880,9/29/2024,0.6799999999999999,0.7557386175212777,0.7070000000000001,0.6872141783535495,0.6800,0.7557,0.7070,0.6872
744881,9/11/2024,0.73600000000000000,0.6508304193717569,0.71200000000000000,0.6551395593152118,0.7360,0.6508,0.7120,0.6551
744882,9/13/2024,0.70200000000000000,0.6880696784515068,0.7110000000000001,0.6957509557120503,0.7020,0.6881,0.7110,0.6958
744883,9/15/2024,0.70000000000000000,0.7610875814152819,0.7110000000000001,0.6947253329750268,0.7000,0.7611,0.7110,0.6947
744884,9/14/2024,0.70200000000000000,0.7216972492834435,0.71000000000000000,0.6920494673440398,0.7020,0.7217,0.7100,0.6920
744885,9/23/2024,0.74800000000000000,0.6580001929822842,0.70800000000000000,0.7134200160762971,0.7480,0.6580,0.7080,0.7134
744886,9/10/2024,0.73800000000000000,0.6786221528566089,0.71000000000000000,0.7211919536589868,0.7380,0.6786,0.7100,0.7212
744887,9/4/2024,0.75300000000000000,0.67736781720912200,0.71400000000000000,0.64382533019020400,0.7530,0.6774,0.7140,0.6438
