"game_id","date_played","away_team_id","home_team_id","away_score","home_score","winner","loser","created_at"
"745920","2024-04-21",116,142,6,1,"away","home","2025-05-19 12:45:19.965999-04"
"745192","2024-04-21",158,138,2,0,"away","home","2025-05-19 12:45:19.965999-04"
"746894","2024-04-21",146,112,6,3,"away","home","2025-05-19 12:45:19.965999-04"
"745107","2024-04-22",116,139,7,1,"away","home","2025-05-19 12:45:20.173015-04"
"745515","2024-04-20",111,134,4,2,"away","home","2025-05-19 12:45:19.709361-04"
"745353","2024-04-21",109,137,5,3,"away","home","2025-05-19 12:45:19.965999-04"
"746154","2024-04-21",121,119,0,10,"home","away","2025-05-19 12:45:19.965999-04"
"745434","2024-04-21",141,135,3,6,"home","away","2025-05-19 12:45:19.965999-04"
"745757","2024-04-22",133,147,2,0,"away","home","2025-05-19 12:45:20.173015-04"
"746572","2024-04-21",136,115,10,2,"away","home","2025-05-19 12:45:19.965999-04"
"747133","2024-04-21",140,144,6,4,"away","home","2025-05-19 12:45:19.965999-04"
"746568","2024-04-21",136,115,1,2,"home","away","2025-05-19 12:45:19.965999-04"
"746156","2024-04-20",121,119,6,4,"away","home","2025-05-19 12:45:19.709361-04"
"746893","2024-04-20",146,112,3,2,"away","home","2025-05-19 12:45:19.709361-04"
"745590","2024-04-20",145,143,5,9,"home","away","2025-05-19 12:45:19.709361-04"
"744865","2024-04-20",117,120,4,5,"home","away","2025-05-19 12:45:19.709361-04"
"745760","2024-04-20",139,147,2,0,"away","home","2025-05-19 12:45:19.709361-04"
"746726","2024-04-20",108,113,5,7,"home","away","2025-05-19 12:45:19.709361-04"
"746651","2024-04-20",133,114,3,6,"home","away","2025-05-19 12:45:19.709361-04"
"746324","2024-04-20",110,118,9,7,"away","home","2025-05-19 12:45:19.709361-04"
"745921","2024-04-20",116,142,3,4,"home","away","2025-05-19 12:45:19.709361-04"
"745190","2024-04-20",158,138,12,5,"away","home","2025-05-19 12:45:19.709361-04"
"746891","2024-04-20",146,112,3,5,"home","away","2025-05-19 12:45:19.709361-04"
"746570","2024-04-20",136,115,7,0,"away","home","2025-05-19 12:45:19.709361-04"
"745354","2024-04-20",109,137,3,7,"home","away","2025-05-19 12:45:19.709361-04"
"745431","2024-04-20",141,135,5,2,"away","home","2025-05-19 12:45:19.709361-04"
"747135","2024-04-20",140,144,2,5,"home","away","2025-05-19 12:45:19.709361-04"
"745514","2024-04-21",111,134,6,1,"away","home","2025-05-19 12:45:19.965999-04"
"745588","2024-04-21",145,143,2,8,"home","away","2025-05-19 12:45:19.965999-04"
"744866","2024-04-21",117,120,0,6,"home","away","2025-05-19 12:45:19.965999-04"
"745759","2024-04-21",139,147,4,5,"home","away","2025-05-19 12:45:19.965999-04"
"746727","2024-04-21",108,113,0,3,"home","away","2025-05-19 12:45:19.965999-04"
"746652","2024-04-21",133,114,2,6,"home","away","2025-05-19 12:45:19.965999-04"
"745519","2024-04-22",158,134,2,4,"home","away","2025-05-19 12:45:20.173015-04"
"745191","2024-04-22",109,138,3,5,"home","away","2025-05-19 12:45:20.173015-04"
"746723","2024-04-22",143,113,7,0,"away","home","2025-05-19 12:45:20.173015-04"
"747134","2024-04-22",146,144,0,3,"home","away","2025-05-19 12:45:20.173015-04"
"745916","2024-04-22",145,142,0,7,"home","away","2025-05-19 12:45:20.173015-04"
"746319","2024-04-22",141,118,5,3,"away","home","2025-05-19 12:45:20.173015-04"
"746565","2024-04-22",135,115,3,1,"away","home","2025-05-19 12:45:20.173015-04"
"746242","2024-04-22",110,108,4,2,"away","home","2025-05-19 12:45:20.173015-04"
"745351","2024-04-22",121,137,2,5,"home","away","2025-05-19 12:45:20.173015-04"
"746647","2024-04-23",111,114,1,4,"home","away","2025-05-19 12:45:20.44984-04"
"745516","2024-04-23",158,134,1,2,"home","away","2025-05-19 12:45:20.44984-04"
"747130","2024-04-23",146,144,0,5,"home","away","2025-05-19 12:45:20.44984-04"
"746566","2024-04-23",135,115,4,7,"home","away","2025-05-19 12:45:20.44984-04"
"745193","2024-04-23",109,138,14,1,"away","home","2025-05-19 12:45:20.44984-04"
"745348","2024-04-23",121,137,1,5,"home","away","2025-05-19 12:45:20.44984-04"
